Año,Accesos por cada 100 hogares
2014,37.335128795789096
2015,39.198153146843865
2016,39.88928333756448
2017,42.525227529608664
2018,48.47759265684393
2019,53.66635638282665
2020,56.13063655712611
2021,61.97851799047853
2022,67.82362492822584
2023,70.0428125
2024,71.983125
